modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro
qwen2.5:3b,F1,3,2,5,23,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F1,3,2,5,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F1,3,3,23,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F1,3,3,5,9,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0
qwen2.5:3b,F1,3,5,17,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F1,3,5,17,8,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F1,4,1,1,5,lanceiro,lanceiro,neutra,neutro,4,2,desperdicio,-2,1
qwen2.5:3b,F1,4,1,1,7,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F1,4,2,5,3,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F1,4,2,1,3,cavaleiro,arqueiro,neutra,sim,1,1,otimo,0,0
qwen2.5:3b,F1,4,3,3,9,cavaleiro,cavaleiro,neutra,neutro,1,2,suicidio,1,0
qwen2.5:3b,F1,4,13,5,7,arqueiro,arqueiro,neutra,neutro,2,4,suicidio,2,0
qwen2.5:3b,F1,4,13,3,6,lanceiro,arqueiro,neutra,nao,13,4,desperdicio,-9,1
qwen2.5:3b,F1,4,14,13,8,lanceiro,cavaleiro,neutra,sim,11,3,desperdicio,-8,1
qwen2.5:3b,F1,5,1,1,9,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1
qwen2.5:3b,F1,5,1,1,7,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F1,5,2,3,9,lanceiro,arqueiro,neutra,nao,10,2,desperdicio,-8,1
qwen2.5:3b,F1,5,2,1,5,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F1,5,3,5,7,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F1,5,3,5,8,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F1,5,4,11,6,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F1,5,4,11,7,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F1,5,6,13,7,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F1,5,7,7,6,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F1,5,7,7,8,lanceiro,arqueiro,neutra,nao,8,4,desperdicio,-4,1
qwen2.5:3b,F1,5,9,6,9,lanceiro,arqueiro,neutra,nao,8,4,desperdicio,-4,1
qwen2.5:3b,F1,5,9,6,12,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F1,5,11,5,9,lanceiro,arqueiro,neutra,nao,4,6,suicidio,2,1
qwen2.5:3b,F1,5,14,5,9,lanceiro,arqueiro,neutra,nao,2,6,suicidio,4,1
