modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro,exemploTipo,exemploNEnvios
qwen2.5:3b,E2,2,7,5,21,cavaleiro,arqueiro,neutra,sim,1,2,suicidio,1,0,lanceiro,2
qwen2.5:3b,E2,2,7,3,7,cavaleiro,cavaleiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E2,2,10,3,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1,lanceiro,3
qwen2.5:3b,E2,2,14,3,9,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,2,14,11,8,cavaleiro,lanceiro,neutra,nao,1,6,suicidio,5,0,lanceiro,3
qwen2.5:3b,E2,2,15,3,9,lanceiro,lanceiro,neutra,neutro,3,6,suicidio,3,1,lanceiro,1
qwen2.5:3b,E2,3,1,1,3,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1,lanceiro,3
qwen2.5:3b,E2,3,1,1,4,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,3
qwen2.5:3b,E2,3,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,3
qwen2.5:3b,E2,3,2,1,23,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E2,3,2,1,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E2,3,3,3,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1,lanceiro,1
qwen2.5:3b,E2,3,4,5,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1,lanceiro,3
qwen2.5:3b,E2,3,4,5,6,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1,lanceiro,3
qwen2.5:3b,E2,3,4,5,8,lanceiro,arqueiro,neutra,nao,3,2,desperdicio,-1,1,lanceiro,3
qwen2.5:3b,E2,3,5,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,3,5,3,6,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,3,5,3,8,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,3,6,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E2,3,6,5,9,arqueiro,arqueiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E2,3,7,3,7,arqueiro,cavaleiro,neutra,nao,2,4,suicidio,2,0,lanceiro,3
qwen2.5:3b,E2,3,7,5,9,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,3,8,1,7,cavaleiro,cavaleiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,1
qwen2.5:3b,E2,3,14,7,19,cavaleiro,arqueiro,neutra,sim,3,3,otimo,0,0,lanceiro,1
qwen2.5:3b,E2,4,1,1,3,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,1
qwen2.5:3b,E2,4,2,1,3,lanceiro,arqueiro,neutra,nao,3,2,desperdicio,-1,1,lanceiro,1
qwen2.5:3b,E2,4,3,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,4,3,1,6,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0,lanceiro,3
qwen2.5:3b,E2,4,3,1,7,cavaleiro,arqueiro,neutra,sim,1,1,otimo,0,0,lanceiro,3
qwen2.5:3b,E2,4,4,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,1
qwen2.5:3b,E2,4,8,3,13,arqueiro,cavaleiro,neutra,nao,6,4,desperdicio,-2,1,lanceiro,1
qwen2.5:3b,E2,4,9,13,19,arqueiro,arqueiro,neutra,neutro,3,3,otimo,0,0,lanceiro,1
qwen2.5:3b,E2,5,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E2,5,1,1,5,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1,lanceiro,2
qwen2.5:3b,E2,5,2,3,19,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1,lanceiro,3
qwen2.5:3b,E2,5,2,3,7,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1,lanceiro,3
qwen2.5:3b,E2,5,2,3,11,lanceiro,arqueiro,neutra,nao,3,2,desperdicio,-1,1,lanceiro,3
qwen2.5:3b,E2,5,4,5,21,arqueiro,arqueiro,neutra,neutro,2,2,otimo,0,0,lanceiro,1
qwen2.5:3b,E2,5,5,5,12,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,3
qwen2.5:3b,E2,5,5,5,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,3
qwen2.5:3b,E2,5,5,5,9,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,5,6,5,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,1
qwen2.5:3b,E2,5,8,5,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E2,5,8,5,8,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,2
qwen2.5:3b,E2,5,9,5,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,1
qwen2.5:3b,E2,5,11,5,7,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,1
qwen2.5:3b,E2,5,12,5,7,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,5,12,5,9,lanceiro,arqueiro,neutra,nao,1,6,suicidio,5,1,lanceiro,3
qwen2.5:3b,E2,5,14,1,9,lanceiro,arqueiro,neutra,nao,1,6,suicidio,5,1,lanceiro,3
qwen2.5:3b,E2,5,14,3,7,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,5,14,5,13,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,3
qwen2.5:3b,E2,5,15,5,7,cavaleiro,lanceiro,neutra,nao,1,8,suicidio,7,0,lanceiro,2
qwen2.5:3b,E2,5,15,5,9,cavaleiro,arqueiro,neutra,sim,1,4,suicidio,3,0,lanceiro,2
