modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro
qwen2.5:3b,F2,2,15,19,7,lanceiro,cavaleiro,neutra,sim,1,4,suicidio,3,1
qwen2.5:3b,F2,3,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F2,3,1,1,7,cavaleiro,cavaleiro,neutra,neutro,3,2,desperdicio,-1,0
qwen2.5:3b,F2,3,2,5,23,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F2,3,2,5,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F2,3,3,23,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F2,3,3,5,9,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0
qwen2.5:3b,F2,3,5,17,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F2,3,7,5,9,lanceiro,arqueiro,neutra,nao,2,2,otimo,0,1
qwen2.5:3b,F2,3,11,9,13,lanceiro,lanceiro,neutra,neutro,2,4,suicidio,2,1
qwen2.5:3b,F2,3,11,23,15,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1
qwen2.5:3b,F2,4,1,1,7,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1
qwen2.5:3b,F2,4,1,1,8,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F2,4,2,1,3,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F2,4,3,3,7,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F2,4,3,3,6,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F2,4,4,3,19,arqueiro,arqueiro,neutra,neutro,9,2,desperdicio,-7,1
qwen2.5:3b,F2,4,4,13,7,lanceiro,arqueiro,neutra,nao,2,2,otimo,0,1
qwen2.5:3b,F2,4,6,3,5,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F2,4,7,19,7,lanceiro,arqueiro,neutra,nao,8,2,desperdicio,-6,1
qwen2.5:3b,F2,4,11,11,5,lanceiro,lanceiro,neutra,neutro,8,4,desperdicio,-4,1
qwen2.5:3b,F2,4,15,5,7,lanceiro,arqueiro,neutra,nao,6,6,otimo,0,1
qwen2.5:3b,F2,5,1,1,9,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1
qwen2.5:3b,F2,5,1,1,7,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F2,5,2,3,9,lanceiro,arqueiro,neutra,nao,10,2,desperdicio,-8,1
qwen2.5:3b,F2,5,2,1,5,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F2,5,3,5,7,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,5,3,5,8,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F2,5,5,11,12,lanceiro,lanceiro,neutra,neutro,10,3,desperdicio,-7,1
qwen2.5:3b,F2,5,7,5,6,arqueiro,lanceiro,neutra,sim,1,2,suicidio,1,0
qwen2.5:3b,F2,5,8,3,7,lanceiro,lanceiro,neutra,neutro,2,3,suicidio,1,1
qwen2.5:3b,F2,5,9,13,9,lanceiro,arqueiro,neutra,nao,8,4,desperdicio,-4,1
qwen2.5:3b,F2,5,10,19,6,lanceiro,lanceiro,neutra,neutro,5,4,desperdicio,-1,1
qwen2.5:3b,F2,5,11,5,7,arqueiro,lanceiro,neutra,sim,2,3,suicidio,1,0
qwen2.5:3b,F2,5,13,6,7,lanceiro,lanceiro,neutra,neutro,2,3,suicidio,1,1
qwen2.5:3b,F2,5,14,6,7,cavaleiro,lanceiro,neutra,nao,1,4,suicidio,3,0
qwen2.5:3b,F2,5,14,6,9,cavaleiro,arqueiro,neutra,sim,1,3,suicidio,2,0
